                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.9163,                 6.4264,                  2.547,                0.03144,                0.27185,                0.14195,                0.05275,                 2.8894,                 6.3066,                 2.0947,                 0.0003,                 0.0003,                 0.0003
                      2,                  3.261,                 3.7337,                 2.0996,                0.00556,                0.04803,                 0.0208,                0.00915,                 4.4872,                 6.4487,                 2.6566,             0.00061693,             0.00061693,             0.00061693
                      3,                 3.2188,                 2.4323,                 2.1645,                0.01478,                0.12776,                0.00835,                0.00302,                 5.6639,                 5.5469,                 3.4009,             0.00093069,             0.00093069,             0.00093069
                      4,                 3.1565,                 2.1764,                 2.1747,                0.06811,                0.58886,                0.48884,                0.27214,                 2.8673,                 4.5451,                 2.1155,              0.0012413,              0.0012413,              0.0012413
                      5,                 3.0921,                 2.0125,                 2.1639,                0.92215,                0.17067,                0.48633,                0.28268,                 3.1401,                 3.9719,                 2.2178,              0.0015487,              0.0015487,              0.0015487
                      6,                 3.2903,                 2.0476,                  2.228,                 0.8857,                0.43175,                0.76623,                0.39649,                 3.0344,                 3.0122,                 2.3055,               0.001853,               0.001853,               0.001853
                      7,                 3.1974,                 2.0042,                 2.1925,                0.85947,                0.65898,                0.83549,                0.45882,                 3.0186,                 2.5678,                 2.2251,              0.0019406,              0.0019406,              0.0019406
                      8,                 3.1103,                 1.8096,                 2.1616,                0.84607,                0.72622,                 0.8561,                0.48361,                 2.9307,                 2.2566,                 2.2564,              0.0019307,              0.0019307,              0.0019307
                      9,                   3.07,                 1.7084,                 2.1824,                0.83015,                0.77426,                  0.887,                0.50422,                 2.9097,                 1.8511,                 2.2508,              0.0019208,              0.0019208,              0.0019208
                     10,                 3.1372,                 1.6951,                 2.1962,                0.82677,                0.79827,                0.89164,                0.48793,                 3.0581,                 1.6879,                 2.3735,              0.0019109,              0.0019109,              0.0019109
                     11,                 3.0446,                 1.6141,                 2.1811,                0.85895,                0.83766,                0.92132,                0.53656,                 2.8315,                 1.4235,                 2.2579,               0.001901,               0.001901,               0.001901
                     12,                 3.0366,                 1.5589,                 2.1618,                0.83998,                 0.8415,                0.91173,                 0.5282,                 2.8969,                 1.4613,                 2.2863,              0.0018911,              0.0018911,              0.0018911
                     13,                 3.0232,                 1.5327,                 2.1881,                0.83598,                0.84054,                0.89741,                0.47855,                 3.1613,                 1.4586,                 2.3863,              0.0018812,              0.0018812,              0.0018812
                     14,                 3.0782,                 1.5139,                 2.1883,                0.88692,                0.89529,                0.95312,                0.53385,                 3.0079,                 1.2709,                 2.3633,              0.0018713,              0.0018713,              0.0018713
                     15,                 3.0505,                 1.4558,                  2.203,                0.88142,                0.88377,                0.93937,                0.52215,                 3.0663,                 1.2803,                  2.354,              0.0018614,              0.0018614,              0.0018614
                     16,                 3.0107,                 1.4324,                 2.1867,                0.91324,                0.89241,                0.95366,                0.54544,                 2.9194,                 1.1999,                 2.3003,              0.0018515,              0.0018515,              0.0018515
                     17,                 3.0135,                  1.409,                   2.18,                0.90678,                0.89625,                0.95833,                0.55334,                 2.9945,                 1.2514,                 2.3199,              0.0018416,              0.0018416,              0.0018416
                     18,                 3.1423,                 1.4479,                 2.2176,                0.91507,                0.89145,                0.95537,                0.55348,                 2.8911,                 1.2064,                 2.2724,              0.0018317,              0.0018317,              0.0018317
                     19,                 3.0443,                 1.3967,                 2.2035,                0.91884,                0.92603,                0.96492,                0.55921,                 2.9096,                 1.1629,                  2.334,              0.0018218,              0.0018218,              0.0018218
                     20,                 3.0191,                 1.3729,                 2.2015,                0.92067,                0.91931,                0.96509,                0.54464,                 3.0267,                 1.1676,                 2.3692,              0.0018119,              0.0018119,              0.0018119
                     21,                 2.9813,                 1.3533,                 2.1818,                0.94518,                0.91739,                0.97193,                0.58147,                 2.8433,                 1.0949,                 2.2852,               0.001802,               0.001802,               0.001802
                     22,                 2.9763,                 1.3232,                 2.1871,                0.93403,                0.91125,                0.97011,                0.57632,                 2.8524,                  1.098,                 2.2791,              0.0017921,              0.0017921,              0.0017921
                     23,                  2.989,                 1.3238,                 2.1723,                0.95441,                0.92516,                0.97286,                0.57787,                 2.8367,                 1.0898,                 2.2869,              0.0017822,              0.0017822,              0.0017822
                     24,                 2.9584,                 1.3086,                  2.184,                0.94478,                0.92027,                0.97784,                0.58272,                 2.8157,                 1.0673,                 2.2721,              0.0017723,              0.0017723,              0.0017723
                     25,                 2.9219,                 1.2628,                 2.1502,                0.94595,                0.92471,                0.97277,                0.56319,                  3.014,                 1.0932,                 2.3591,              0.0017624,              0.0017624,              0.0017624
                     26,                 3.0048,                  1.269,                 2.2257,                0.96186,                0.92049,                 0.9763,                0.58095,                 2.9296,                 1.0564,                 2.3129,              0.0017525,              0.0017525,              0.0017525
                     27,                 2.9314,                 1.2483,                 2.1761,                0.93973,                0.94363,                0.97395,                0.58516,                  2.822,                 1.0941,                 2.2765,              0.0017426,              0.0017426,              0.0017426
                     28,                 2.9292,                  1.252,                 2.1547,                0.94902,                0.92988,                0.97629,                0.58502,                 2.8917,                 1.0403,                 2.3084,              0.0017327,              0.0017327,              0.0017327
                     29,                 2.9689,                 1.2664,                  2.194,                 0.9482,                0.94952,                0.97931,                0.58804,                 2.8282,                 1.0271,                 2.2823,              0.0017228,              0.0017228,              0.0017228
                     30,                 2.9201,                 1.2308,                 2.1672,                0.93871,                0.94044,                0.97143,                0.57725,                 2.8358,                 1.0593,                 2.2933,              0.0017129,              0.0017129,              0.0017129
                     31,                  2.915,                 1.2175,                 2.1566,                0.94603,                0.92612,                0.97701,                0.55992,                  2.971,                 1.0614,                 2.3485,               0.001703,               0.001703,               0.001703
                     32,                 2.9575,                 1.2348,                 2.1782,                0.93983,                0.93027,                0.96951,                0.59292,                 2.8554,                 1.0504,                 2.2871,              0.0016931,              0.0016931,              0.0016931
                     33,                  2.949,                 1.2054,                  2.193,                0.96817,                0.93509,                0.97849,                0.58139,                 2.8972,                 1.0275,                 2.3223,              0.0016832,              0.0016832,              0.0016832
                     34,                 2.9578,                 1.2341,                  2.168,                0.95402,                0.94044,                 0.9798,                0.58788,                 2.8874,                 1.0165,                 2.3031,              0.0016733,              0.0016733,              0.0016733
                     35,                 2.8788,                  1.186,                 2.1546,                0.96734,                 0.9414,                0.98546,                0.59678,                  2.823,                0.97077,                 2.2816,              0.0016634,              0.0016634,              0.0016634
                     36,                 2.8561,                 1.1636,                 2.1685,                0.96075,                0.91451,                0.97581,                0.59804,                 2.7957,                 1.0012,                 2.2666,              0.0016535,              0.0016535,              0.0016535
                     37,                 2.8888,                 1.1894,                 2.1559,                0.95362,                0.94811,                 0.9776,                0.58506,                 2.8971,                 1.0203,                 2.3005,              0.0016436,              0.0016436,              0.0016436
                     38,                 2.8851,                 1.1969,                 2.1695,                0.96591,                0.93852,                0.97683,                0.59058,                 2.8013,                 1.0117,                 2.2728,              0.0016337,              0.0016337,              0.0016337
                     39,                 2.8848,                 1.1736,                 2.1849,                0.96005,                0.94639,                0.98051,                0.58304,                 2.9517,                0.99675,                 2.3318,              0.0016238,              0.0016238,              0.0016238
                     40,                 2.9776,                 1.2199,                 2.1851,                0.95583,                0.93276,                0.97858,                0.59515,                 2.8429,                0.99717,                 2.2753,              0.0016139,              0.0016139,              0.0016139
                     41,                 2.8763,                 1.1821,                 2.1445,                0.94992,                0.95293,                0.98198,                0.59242,                 2.8562,                0.97998,                 2.2923,               0.001604,               0.001604,               0.001604
                     42,                 2.8456,                   1.15,                 2.1411,                0.96224,                0.95481,                0.98274,                0.60748,                 2.7735,                0.96725,                 2.2643,              0.0015941,              0.0015941,              0.0015941
                     43,                 2.8383,                 1.1539,                  2.139,                 0.9653,                0.94428,                0.98513,                 0.5997,                 2.7818,                 1.0004,                 2.2551,              0.0015842,              0.0015842,              0.0015842
                     44,                 2.8908,                 1.1673,                 2.1493,                0.93825,                0.93412,                0.97098,                0.56589,                 2.9532,                 1.0481,                 2.3677,              0.0015743,              0.0015743,              0.0015743
                     45,                 2.8562,                 1.1558,                 2.1644,                0.96353,                0.93852,                0.98312,                0.58906,                 2.8457,                0.99502,                 2.2885,              0.0015644,              0.0015644,              0.0015644
                     46,                 2.9227,                  1.165,                 2.1458,                0.95706,                0.94236,                0.97726,                0.60012,                 2.7604,                0.96485,                 2.2497,              0.0015545,              0.0015545,              0.0015545
