epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,53.4393,3.36181,4.47619,2.25767,0.55632,0.63016,0.62943,0.36464,2.99474,2.86583,2.04673,0.000661333,0.000661333,0.000661333
2,73.778,3.33,2.59875,2.2775,0.6649,0.71278,0.7116,0.3789,2.89112,2.69386,2.18518,0.00132143,0.00132143,0.00132143
3,93.2446,3.16533,2.3828,2.23095,0.71484,0.7512,0.7998,0.45206,2.87359,2.10965,2.16086,0.00197492,0.00197492,0.00197492
4,113.034,3.15153,2.12581,2.26009,0.78099,0.78866,0.86145,0.49841,2.80342,2.20836,2.19311,0.0019703,0.0019703,0.0019703
5,132.747,3.24936,2.01384,2.26865,0.78856,0.78963,0.85885,0.47155,2.97022,1.80846,2.24568,0.0019604,0.0019604,0.0019604
6,152.403,3.1343,1.90556,2.2686,0.82621,0.80788,0.88828,0.51522,2.92219,1.67895,2.22734,0.0019505,0.0019505,0.0019505
7,171.995,3.14338,1.84423,2.26657,0.85199,0.81286,0.90941,0.52459,2.87475,1.50577,2.23959,0.0019406,0.0019406,0.0019406
8,191.671,3.09915,1.7257,2.24588,0.84687,0.83862,0.91292,0.52563,2.87167,1.41573,2.25595,0.0019307,0.0019307,0.0019307
9,211.326,3.05623,1.63451,2.23166,0.86044,0.86936,0.93539,0.5434,2.87921,1.3103,2.25235,0.0019208,0.0019208,0.0019208
10,230.996,3.01638,1.56816,2.23618,0.89193,0.87896,0.95044,0.55737,2.79023,1.25948,2.2565,0.0019109,0.0019109,0.0019109
11,250.651,3.02117,1.52258,2.24613,0.89457,0.89241,0.95128,0.5461,2.83354,1.20712,2.30849,0.001901,0.001901,0.001901
12,270.229,3.10003,1.52835,2.2615,0.90467,0.8828,0.953,0.54415,2.93019,1.20661,2.3119,0.0018911,0.0018911,0.0018911
13,289.682,3.06348,1.50691,2.27324,0.91555,0.89567,0.95768,0.58385,2.72592,1.13761,2.24594,0.0018812,0.0018812,0.0018812
14,309.275,3.02981,1.47197,2.27894,0.91177,0.91739,0.96716,0.5573,2.90232,1.14181,2.30305,0.0018713,0.0018713,0.0018713
15,329.071,3.04214,1.48183,2.25591,0.91868,0.89817,0.96465,0.57372,2.83529,1.12381,2.2764,0.0018614,0.0018614,0.0018614
16,348.584,2.99638,1.39966,2.23221,0.9397,0.9132,0.96908,0.57516,2.85167,1.12719,2.28935,0.0018515,0.0018515,0.0018515
17,368.286,3.09584,1.41682,2.26994,0.92525,0.92315,0.97048,0.58376,2.80416,1.10424,2.26315,0.0018416,0.0018416,0.0018416
18,387.894,3.00654,1.36341,2.22556,0.9372,0.92411,0.97623,0.58237,2.83449,1.05572,2.28091,0.0018317,0.0018317,0.0018317
19,407.397,3.03532,1.36464,2.2386,0.94231,0.92123,0.97037,0.57637,2.84181,1.08213,2.28226,0.0018218,0.0018218,0.0018218
20,426.992,2.93552,1.30823,2.21492,0.95155,0.93276,0.97724,0.59559,2.75716,1.01316,2.2534,0.0018119,0.0018119,0.0018119
21,446.526,2.95039,1.29739,2.21215,0.94984,0.92768,0.97516,0.58759,2.80608,1.05239,2.25768,0.001802,0.001802,0.001802
22,466.088,2.96866,1.29085,2.24366,0.93878,0.93948,0.97674,0.59598,2.75923,1.02585,2.24039,0.0017921,0.0017921,0.0017921
23,485.549,2.94984,1.30425,2.24662,0.95342,0.94621,0.98184,0.58605,2.86027,1.01526,2.26511,0.0017822,0.0017822,0.0017822
