                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.6173,                 5.1117,                 2.3911,                0.02867,                0.24784,                0.15957,                0.04777,                 2.8408,                   6.17,                 2.1085,                0.00062,                0.00062,                0.00062
                      2,                 3.4864,                  2.714,                 2.3229,                0.01311,                0.11335,                0.03176,                0.01937,                 3.3431,                 5.3727,                 2.2228,              0.0012351,              0.0012351,              0.0012351
                      3,                 3.2499,                 2.4705,                 2.2646,                 0.8208,                 0.1804,                0.49513,                0.23138,                 3.4624,                 3.6037,                 2.3983,              0.0018248,              0.0018248,              0.0018248
                      4,                  3.259,                 2.1498,                 2.2722,                0.76607,                0.51489,                0.69685,                0.37528,                 3.0881,                 2.7166,                  2.335,              0.0018812,              0.0018812,              0.0018812
                      5,                 3.1619,                 2.0028,                 2.2418,                0.77735,                0.74063,                 0.8336,                0.47802,                 2.8334,                 2.1501,                 2.2542,              0.0018416,              0.0018416,              0.0018416
                      6,                 3.1184,                 2.0511,                 2.2732,                0.71019,                0.69741,                0.74513,                0.32925,                 3.5488,                 2.2222,                 2.6051,               0.001802,               0.001802,               0.001802
                      7,                 3.1032,                 1.9431,                 2.2242,                 0.8022,                0.80403,                0.86963,                0.48947,                 2.9634,                 1.7821,                 2.3075,              0.0017624,              0.0017624,              0.0017624
                      8,                 3.1146,                 1.8344,                 2.2407,                0.83395,                0.80596,                0.90154,                0.50142,                 2.9569,                 1.5979,                 2.3045,              0.0017228,              0.0017228,              0.0017228
                      9,                 3.0852,                 1.7218,                 2.2002,                0.81904,                0.81738,                0.88978,                0.52278,                 2.8135,                 1.5408,                 2.2541,              0.0016832,              0.0016832,              0.0016832
                     10,                 3.0682,                 1.6998,                 2.1894,                0.81678,                0.86071,                0.91146,                0.51443,                  2.928,                 1.4514,                 2.3109,              0.0016436,              0.0016436,              0.0016436
                     11,                  3.111,                 1.7038,                 2.2532,                 0.8511,                 0.8291,                0.91346,                0.52728,                 2.8864,                 1.4029,                  2.306,               0.001604,               0.001604,               0.001604
                     12,                 2.9926,                 1.5774,                 2.1947,                 0.8607,                0.84873,                0.92821,                0.54293,                 2.8039,                 1.3525,                 2.2624,              0.0015644,              0.0015644,              0.0015644
                     13,                  3.015,                 1.5662,                  2.181,                0.86373,                0.87068,                0.93684,                 0.5517,                 2.8074,                 1.3306,                 2.2691,              0.0015248,              0.0015248,              0.0015248
                     14,                 2.9956,                  1.528,                 2.1974,                0.83968,                 0.8732,                0.93419,                0.52601,                 2.9737,                 1.3243,                 2.3209,              0.0014852,              0.0014852,              0.0014852
                     15,                 3.0387,                 1.4982,                 2.2101,                0.88169,                 0.8519,                 0.9396,                0.55336,                 2.8197,                 1.2912,                 2.2764,              0.0014456,              0.0014456,              0.0014456
